"","slide","id","morph","locality","species","tissue_thickness","collagen_layer_nm","iridophores_area_px","iridophores_area_nm2","iridophores_thickness_pix","iridophores_thickness_nm","iridophores_density","melanophores_area_px","melanophores_area_nm2","melanophores_thickness_px","melanophores_thickness_nm","melanophores_density","xanthophores_area_px","xanthophores_area_nm2","xanthophores_thickness_px","xanthophore_thickness_nm","xanthophores_density","xanthtomel","iritomel","xanthtoiri","glands","B1","B2","B3","S1U","S1V","S1B","S1G","S1Y","S1R","S2","S3","S4","S5","S6","S7","S8","S9","S10","H1","H2","H3","H4","H5","total_chrom_area","rel_xanth","rel_melan","rel_irid"
"11","1113","BAS.4","red","BAS","pumilio",28.34355828,4.46659689,1866,22.70922,215.3333333,2.620606666,8.665634677,14176.66667,172.5300333,542.7540651,6.605316972,26.11987192,22431,272.98527,141.149664,1.717791411,158.916425,6.084119612,0.331764057,18.33869427,5,5307.636285,13.23600071,38.46368772,0.11168089,0.125880951,0.108230329,0.158381606,0.22350862,0.62788542,7.78056538,0.495859968,0.082000875,2921.124395,33.52012824,-0.268220082,2.532496709,0.864848328,0.207666946,680,699,603,0.065154184,594,38473.66667,0.58302215363036,0.368477140263169,0.048500706106471
"12","1114","BAS.5","red","BAS","pumilio",20.82822086,NA,14623,177.96191,114.6666667,1.395493334,127.5261627,42019.66667,511.3793433,289.0207406,3.517382414,145.3863365,43358.5,527.672945,99.14083541,1.206543967,437.3424918,3.008140258,0.877153698,3.429433479,4,5767.692857,14.38327396,43.92318689,0.109066553,0.123224214,0.105267191,0.165595343,0.227707228,0.626088788,8.679503001,0.421636581,0.037817658,3180.290344,38.86262215,-0.239486333,2.701931581,0.874135459,0.102180725,693,699,606,0.081732692,594,100001.16667,0.433579941552896,0.420191764448742,0.146228293998362
"13","1116","BAS.7","red","BAS","pumilio",18.34355828,3.080320303,10049.33334,122.3003867,96.33333336,1.172376667,104.3183391,51644,628.50748,242.8110292,2.955010225,212.6921507,66986.66667,815.2277334,143.6701938,1.748466258,466.2530545,2.192149795,0.490466332,4.469521453,4,4274.724946,10.66016196,28.04795379,0.138389378,0.157139633,0.131568991,0.1736235,0.220680615,0.562855078,5.908703034,0.363354214,0.033037575,1976.794047,23.30106541,-0.145258161,2.185807823,0.81469198,0.072213789,694,331,602,0.058378827,594,128680.00001,0.520567816791998,0.401336649020723,0.0780955341872789
"14","1117","BAS.8","red","BAS","pumilio",7.928677923,3.14725936,13883.13333,168.9577327,31.74366667,0.386320423,437.3512831,13621,165.76757,102.297,1.24495449,133.1515098,18435.97644,224.3658333,95.7885,1.165746045,192.4654467,1.445461993,3.284613774,0.440070612,3,3939.719359,9.824736557,29.82807505,0.131246432,0.148822754,0.118356114,0.134438916,0.194605199,0.621798206,9.212549681,0.428544207,0.030677138,2087.343024,26.5903096,-0.208155849,2.706465405,0.851003573,0.083026612,692,300,609,-0.010649738,606,45940.10977,0.401304579642932,0.296494720369494,0.302200699987574
"15","3424","CAL.1","red","CAL","vicentei",7.34192977,3.150784603,22904.66667,278.7497933,32.83929597,0.399654232,697.4773967,4188.825217,50.97800289,77.19597749,0.939475046,54.26222134,5694.539316,69.30254348,34.785908,0.4233445,163.7024773,3.016877549,12.85383052,0.234706498,9,4499.204455,11.21996124,28.12807636,0.106875593,0.12112598,0.09128652,0.200896695,0.287935131,0.607913371,15.32094129,0.604336823,0.094268731,2295.499277,24.7823716,-0.395023553,2.395520934,0.861970415,0.225743217,653.25,473,584.75,0.127382691,581.25,32788.031203,0.173677378819835,0.127754703875502,0.698567917304663
"16","3524","CAL.2","red","CAL","vicentei",6.555281253,2.565103353,17278.33333,210.2773167,26.20002687,0.318854327,659.4776953,10594.05952,128.9297044,114.56251,1.394225747,92.47405213,3085.9375,37.55585938,33.794236,0.411275852,91.3154983,0.987471579,7.131489105,0.138466394,6,2849.835111,7.106820727,20.28093662,0.086683486,0.097583633,0.06866525,0.224342735,0.332592249,0.627461282,23.06695046,0.649267426,0.11971846,1750.72213,19.29833799,-0.508552277,2.678952685,0.867463062,0.324426356,636.75,619.5,579.25,0.180366828,580.75,30958.33035,0.0996803595385111,0.34220383981399,0.558115800647498
"17","3624","CAL.3","red","CAL","vicentei",5.091055817,2.33139473,6401.333333,77.90422667,23.73326459,0.28883383,269.7198824,2484.773626,30.23969503,69.03375604,0.840140811,35.99360326,3032.904029,36.91044204,41.201202,0.501418628,73.61202786,2.045141947,7.493550464,0.272920288,4,3130.647999,7.807102243,19.40710231,0.12815345,0.144011225,0.096277781,0.192017443,0.283419657,0.590579312,13.85012754,0.608423721,0.08304145,1545.701858,17.39985679,-0.366921818,2.365452323,0.818275768,0.190472609,641,616.5,583.75,0.080914682,581.25,11919.010988,0.254459370165319,0.208471460299991,0.53706916953469
"18","3724","CAL.4","red","CAL","vicentei",5.718301673,3.64344243,9524,115.90708,22.47134897,0.262278946,441.9229289,3446.895029,41.94871251,66.82149762,0.718344156,51.58362432,3749.594444,45.63256439,26.16366,0.318411742,143.3130704,2.778266791,8.567116691,0.324294263,5,3278.970797,8.176984532,23.80963206,0.092665283,0.104399844,0.06376394,0.185997784,0.296102728,0.664494464,24.03358873,0.638347133,0.090050836,2100.918038,22.94540257,-0.517594555,2.807823326,0.909974335,0.254690185,658.5,530.5,585,0.105792625,581.5,16720.489473,0.224251476014191,0.206147973991192,0.569600549994617
"19","1102","CAY.1","green","CAY","pumilio",16.42,2.996428437,0,0,0,0,NA,51975.66667,632.5438633,113.83,1.3853111,456.6078069,7872.69,95.8106373,37.08,0.4512636,212.316343,0.464986231,0,NA,4,4994.729753,12.45568517,21.15074662,0.253938551,0.277675212,0.162318791,0.366540229,0.288109801,0.224582243,3.342836266,0.387650585,0.255009559,754.6710344,14.82356068,-0.138158082,1.190103995,0.274345034,0.303487895,572,300,517,0.851572978,518,59848.35667,0.131543962742528,0.868456037257472,0
"20","1103","CAY.2","green","CAY","pumilio",16.57,3.465878073,0,0,0,0,NA,NA,163.8882786,131.24,1.5971908,102.6103322,2947.46,35.8705882,30.85,0.3754445,95.54165316,0.93111143,0,NA,4,5665.849853,14.12930138,18.16106824,0.243784138,0.275334386,0.226577897,0.282457498,0.233185135,0.254543324,1.606877082,0.304688062,0.089570267,444.7281972,6.858978963,0.726081346,0.485443603,0.214611883,0.043481313,581,618,647,0.60493647,519,NA,NA,NA,NA
"21","1104","CAY.3","green","CAY","pumilio",16.47,2.85137015,0,0,0,0,NA,38127.57,464.0125269,127.45,1.5510665,299.1570812,10455.75,127.2464775,45.02,0.5478934,232.2467792,0.776337228,0,NA,4,3724.195814,9.287271357,13.48715544,0.230237922,0.258311019,0.199571468,0.323006373,0.25437508,0.254616985,2.162266692,0.331952822,0.069852084,502.2294693,7.2496476,0.689227766,0.780600385,0.305351897,0.054526564,553,595,639,0.813337109,518,48583.32,0.215212752030944,0.784787247969056,0
"22","1105","CAY.4","green","CAY","pumilio",28.63,2.58286344,935.25,11.3819925,20.52,0.2497284,45.57748538,42314.38,514.9660046,150.29,1.8290293,281.5515337,5420.14,65.9631038,40.64,0.4945888,133.3695866,0.473695117,0.161879727,2.926216431,5,1972.967631,4.920118781,9.043576538,0.177298258,0.197470118,0.140348805,0.384512307,0.3137112,0.304964037,4.045062045,0.390959566,0.058095515,564.0775463,6.807868794,-0.322053127,1.383679764,0.629595596,0.080385588,554,594,520,0.793692122,519,48669.77,0.111365638259643,0.869418121351303,0.0192162403890546
"23","1106","CAY.5","green","CAY","pumilio",18.39468303,2.61824163,0,0,0,0,NA,28144.85556,342.5228921,1979.908903,0.981713333,348.9031682,5300.233333,64.50383966,56.29183032,0.685071575,94.15635098,0.269863846,0,NA,4,4868.007222,12.13966888,16.76966021,0.221903145,0.251079201,0.217694705,0.309048695,0.244975515,0.258836937,1.846173943,0.320828226,0.069190692,601.9080681,7.686193143,0.738515738,0.633146852,0.269424601,0.043807869,555,595,650,0.869790277,518,33445.088893,0.158475683827808,0.841524316172192,0
"24","1107","CAY.6","green","CAY","pumilio",14.91,2.613138343,2036.07,24.7789719,21.96,0.2672532,92.71721311,36289.81,441.6469877,145.13,1.7662321,250.0503686,7236.01,88.0622417,40.25,0.4898425,179.776646,0.718961732,0.370794147,1.938978103,4,1948.800175,4.85985081,8.55997252,0.173657252,0.195056595,0.162625096,0.381443207,0.293115274,0.289991876,3.530199224,0.369933206,0.047140424,528.3000765,6.135187975,0.957393857,1.26242311,0.562330176,0.05951116,542,594,693,0.899801834,507,45561.89,0.158817160569941,0.796494833730559,0.0446880056995002
