Spectral,Histological,r,p,n,morph,abs_r,p_adj_BH,sig_stars,pass_threshold
S1R,collagen_layer_nm,-0.171578373,0.445173494,22,Green,0.171578373,0.782822702,,FALSE
B3,iridophores_area_nm2,-0.112909397,0.616875479,22,Green,0.112909397,0.803165541,,FALSE
S9,iridophores_area_nm2,-0.337814811,0.124143591,22,Green,0.337814811,0.527842835,,FALSE
S1V,iridophores_area_nm2,0.35486802,0.105110148,22,Green,0.35486802,0.527842835,,FALSE
S1G,iridophores_area_nm2,-0.384782459,0.077019444,22,Green,0.384782459,0.527842835,,FALSE
S1R,iridophores_area_nm2,-0.297029308,0.179466564,22,Green,0.297029308,0.527842835,,FALSE
B3,iridophores_thickness_nm,-0.371383904,0.088802828,22,Green,0.371383904,0.527842835,,FALSE
S9,iridophores_thickness_nm,0.071616351,0.751463978,22,Green,0.071616351,0.873795323,,FALSE
S1V,iridophores_thickness_nm,0.106675001,0.636572943,22,Green,0.106675001,0.803165541,,FALSE
S1G,iridophores_thickness_nm,-0.151584002,0.500694238,22,Green,0.151584002,0.782822702,,FALSE
S1R,iridophores_thickness_nm,0.042913412,0.849607452,22,Green,0.042913412,0.919712965,,FALSE
B3,melanophores_area_nm2,0.053317813,0.813702675,22,Green,0.053317813,0.904114083,,FALSE
S9,melanophores_area_nm2,0.223406999,0.317595509,22,Green,0.223406999,0.691622617,,FALSE
S1V,melanophores_area_nm2,-0.204759407,0.360672872,22,Green,0.204759407,0.721345743,,FALSE
S1G,melanophores_area_nm2,0.207398585,0.354379634,22,Green,0.207398585,0.721345743,,FALSE
S1R,melanophores_area_nm2,0.135401646,0.547975891,22,Green,0.135401646,0.782822702,,FALSE
S1V,melanophores_thickness_nm,0.017273327,0.93918426,22,Green,0.017273327,0.93918426,,FALSE
S1G,melanophores_thickness_nm,0.038614821,0.864530187,22,Green,0.038614821,0.919712965,,FALSE
S1R,melanophores_thickness_nm,0.320581988,0.145777878,22,Green,0.320581988,0.527842835,,FALSE
B3,xanthophores_area_nm2,0.123447401,0.584157603,22,Green,0.123447401,0.789402167,,FALSE
S9,xanthophores_area_nm2,0.083764305,0.710929478,22,Green,0.083764305,0.866987168,,FALSE
S1V,xanthophores_area_nm2,-0.129803643,0.564791604,22,Green,0.129803643,0.784432783,,FALSE
S1G,xanthophores_area_nm2,0.168915703,0.452374316,22,Green,0.168915703,0.782822702,,FALSE
S1R,xanthophores_area_nm2,-0.03278607,0.884835443,22,Green,0.03278607,0.921703586,,FALSE
B3,xanthophore_thickness_nm,-0.326975768,0.137461449,22,Green,0.326975768,0.527842835,,FALSE
S9,xanthophore_thickness_nm,0.343729588,0.117280878,22,Green,0.343729588,0.527842835,,FALSE
S1V,xanthophore_thickness_nm,-0.141308722,0.530483552,22,Green,0.141308722,0.782822702,,FALSE
S1G,xanthophore_thickness_nm,0.142364897,0.527383782,22,Green,0.142364897,0.782822702,,FALSE
S1R,xanthophore_thickness_nm,0.314282534,0.154312993,22,Green,0.314282534,0.527842835,,FALSE
